1,1,0,Casey Adams,dscribner@ethicspoint.com,Regular Full Admin,ABC Corp,,dfsgasdg,,,,2017-11-09 07:54:30.687,NULL,2016-10-13 09:51:37.000,NULL,1,1,admin@abceim.com,750cc93ebc36330ec6c07860c2ab8cb3,,NULL,1,,,1,0,0,0,0,,Casey,,Adams,5fxncWahCLYe6nnu/c/cy2fOjJpCBS3Kc7aQ0kKzc4Dn+6F7pxeNQftYxwvuuTa5,e1K4a/3TUP/B/1MfUb2ReA==,0,2016-10-13 09:51:37.000,0,0,0,0,1,0,0,0,0,,0,0,1,,0,1,-8,0,B5r5084cp5qgvDNy6Dk9VwwU86CNf1XhPY9Ma4nF,5,NULL,0,1,2022-04-13 10:12:35.387,NULL,NULL,1,0,0,1,0,1,0,0
9,0,0,Heidi Tester,hhalifko@lucent.com,Security Expert,Lucent,,,,,NULL,2006-05-09 13:43:53.000,2006-05-09 13:17:42.000,2006-05-09 13:42:21.000,2006-05-12 06:53:10.000,0,1,,,Helping Heidi test manual push solution.,,1,,,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0,2007-01-01 00:00:01.000,0,1,2,0,1,0,0,0,0,NULL,0,0,1,NULL,0,0,3,0,NULL,8,NULL,0,0,NULL,NULL,NULL,0,1,1,0,0,1,0,0
11,0,0,HH,,,,,,,,NULL,2006-05-12 10:22:54.000,2006-05-12 07:20:56.000,2006-05-12 09:11:44.000,2006-05-13 21:24:28.000,0,5,,,,,0,,,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0,2007-01-01 00:00:01.000,0,1,2,0,1,0,0,0,0,NULL,0,0,1,NULL,0,0,3,0,NULL,8,NULL,0,0,NULL,NULL,NULL,0,1,1,0,0,1,0,0
12,0,0,Reggie Wideman,dbeutler@ethicspoint.com,Office Manager,EthicsPoint,,555-555-1234,,,,2009-07-29 17:10:25.000,2006-06-09 15:15:57.000,2011-11-03 13:37:25.000,NULL,1,0,rwideman,098f6bcd4621d373cade4e832627b4f6,,NULL,0,,,0,0,0,0,0,,Reggie,,Wideman,d8SPLQy+5Bncxu/aW9d0ZQ==,d8SPLQy+5Bncxu/aW9d0ZQ==,0,2009-02-26 09:17:49.000,0,1,2,0,0,1,0,0,0,,1,0,1,,0,0,3,0,NULL,8,NULL,0,0,2022-04-13 10:12:35.387,NULL,NULL,0,0,0,1,0,1,0,0
13,0,4,Brin Odell,bodell@ethicspoint.com,,,,,,,NULL,2006-09-29 16:10:49.000,2006-06-26 09:59:25.000,2006-08-17 09:56:06.000,2006-10-09 08:38:04.000,0,0,,,,,0,,,0,0,0,0,1,,Brin Odell,,,NULL,NULL,0,2007-01-01 00:00:01.000,0,1,2,0,1,0,0,0,0,NULL,0,0,1,NULL,0,0,3,0,NULL,8,NULL,0,0,NULL,NULL,NULL,0,1,1,0,0,1,0,0
16,0,0,"Tracy Reith (auto user, don't delete)",treith@ethicspoint.com,Head of User Confusion,ABC Corporate Security,,503-924-2839,,503-924-2839,,2017-11-13 02:06:52.387,2006-06-28 11:44:09.000,2017-05-24 07:01:08.000,NULL,1,0,treith,81dc9bdb52d04dc20036dbd8313ed055,,NULL,0,,,0,1,6,0,0,,Tracy,,"Reith (auto user, don't delete)",x0i2d+Flr1P//55SZ6uphYO9LFQCXa9ldVF9y6RErJf3cuDRsYXxlu89N5G9Y3DpQOmwgWRxwecweTdJ7YnMgg==,LTneyUtf6YC3ce2jtfcorA==,0,2017-05-24 07:01:08.000,0,3,1,0,1,0,0,0,0,5512312351@verizon.com,0,0,1,,0,0,3,0,Vzb46oKx3mGwgjErz1eh098k83kEU4NbStvH15R4,8,NULL,0,1,2022-04-13 10:12:35.387,NULL,NULL,1,0,0,1,0,1,0,0
18,0,0,Sys Admin,,,,,,,,NULL,NULL,2006-06-29 14:53:58.000,2006-06-29 14:53:58.000,2006-06-29 14:54:17.000,0,1,,,,,1,,,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,0,2007-01-01 00:00:01.000,0,1,2,0,1,0,0,0,0,NULL,0,0,1,NULL,0,0,3,0,NULL,8,NULL,0,0,NULL,NULL,NULL,0,1,1,0,0,1,0,0
19,0,0,SysAdmin only,treith@ethicspoint.com,System Administrator,,,,,,,2009-07-27 13:07:09.000,2006-06-29 14:54:08.000,2011-11-03 13:37:25.000,NULL,1,1,admin1@abceim.com,750cc93ebc36330ec6c07860c2ab8cb3,,NULL,1,,,0,0,0,0,1,,SysAdmin only,,,5/R44jimgX+EEFbOcQoa3ldcEVISYecG2enEFXqcDtvsIQkIPM2rFTaTh5amSQPL,jRjULs7zJxffL89aHgmstQ==,0,2007-01-01 00:00:01.000,0,1,2,1,1,0,0,0,0,NULL,0,0,1,NULL,0,0,3,1,NULL,8,NULL,0,1,NULL,NULL,NULL,0,0,0,1,0,1,0,0
20,0,-1,Test Folk,dbeutler@ethicspoint.com,Ummm,,,No phone,,,NULL,2014-05-05 16:19:31.193,2006-07-10 10:17:53.000,2014-05-05 16:19:11.740,NULL,1,0,abc,81dc9bdb52d04dc20036dbd8313ed055,,,0,,,0,0,0,1,0,,Test,,Folk,NULL,NULL,0,2014-05-05 16:19:11.740,0,1,2,0,1,0,0,0,0,,0,0,1,,0,0,3,0,o2BW3y02AC6Lr9HiutIowN5ctH8JiLJZVM7Rzjtd,8,NULL,0,0,2022-04-13 10:12:35.387,NULL,NULL,0,0,0,1,0,1,0,0
21,0,4,test test,test@ethicspoint.com,,,,,,,NULL,NULL,2006-07-10 10:30:22.000,2006-07-10 10:30:22.000,2006-07-10 10:30:32.000,0,0,,,,,0,,,0,0,0,0,1,,test,,test,NULL,NULL,0,2007-01-01 00:00:01.000,0,1,2,0,1,0,0,0,0,NULL,0,0,1,NULL,0,0,3,0,NULL,8,NULL,0,0,NULL,NULL,NULL,0,1,1,0,0,1,0,0
